Name,Type
KFC,Food
Kfc,Food
Burgerking,Food
Starbucks,Food
Repairshop,Transportation
Mobil,Transportation
Watania,Transportation
Chillout,Transportation
Waterbill,Housing
Electricitybill,Housing
Gasbill,Housing
Housemaintainance,Housing
